19:37:15 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 57 error- 1101.4479113028437
19:37:16 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 58 error- 1083.6335654186948
19:37:16 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 59 error- 1066.275688737676
19:37:17 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 60 error- 1049.3594037638618
19:37:17 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 61 error- 1032.8705947396725
19:37:18 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 62 error- 1016.7958314209828
19:37:18 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 63 error- 1001.1223019903041
19:37:18 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 64 error- 985.837754101309
19:37:19 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 65 error- 970.9304431523062
19:37:19 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 66 error- 956.3890869788452
19:37:20 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 67 error- 942.2028262379342
19:37:20 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 68 error- 928.3611898303138
19:37:21 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 69 error- 914.85406477333
19:37:21 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 70 error- 901.6716699967263
19:37:21 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 71 error- 888.8045335876801
19:37:22 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 72 error- 876.2434730598684
19:37:22 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 73 error- 863.9795782659515
19:37:23 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 74 error- 852.0041966125212
19:37:23 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 75 error- 840.3089202732248
19:37:24 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 76 error- 828.8855751285677
19:37:24 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 77 error- 817.7262111909209
19:37:24 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 78 error- 806.823094300387
19:37:25 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 79 error- 796.1686989017599
19:37:25 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 80 error- 785.7557017351074
19:37:26 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 81 error- 775.5769762926741
19:37:26 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 82 error- 765.6255879129578
19:37:27 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 83 error- 755.8947893992425
19:37:27 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 84 error- 746.3780170646635
19:37:27 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 85 error- 737.068887119109
19:37:28 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 86 error- 727.9611923251845
19:37:28 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 87 error- 719.0488988611226
19:37:29 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 88 error- 710.3261433379689
19:37:29 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 89 error- 701.787229926811
19:37:30 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 90 error- 693.4266275593039
19:37:30 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 91 error- 685.2389671714103
19:37:30 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 92 error- 677.2190389658998
19:37:31 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 93 error- 669.3617896744477
19:37:31 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 94 error- 661.6623198044003
19:37:32 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 95 error- 654.1158808592705
19:37:32 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 96 error- 646.7178725251821
19:37:33 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 97 error- 639.463839818396
19:37:33 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 98 error- 632.3494701913654
19:37:33 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 99 error- 625.370590596809
19:37:34 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 100 error- 618.523164510897
19:37:34 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 101 error- 611.8032889180702
19:37:35 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 102 error- 605.2071912609395
19:37:35 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 103 error- 598.7312263597547
19:37:36 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 104 error- 592.3718733063871
19:37:36 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 105 error- 586.1257323383478
19:37:36 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 106 error- 579.9895216985512
19:37:37 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 107 error- 573.960074486867
19:37:37 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 108 error- 568.0343355093389
19:37:38 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 109 error- 562.2093581311397
19:37:38 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 110 error- 556.4823011390295
19:37:39 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 111 error- 550.8504256190299
19:37:39 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 112 error- 545.3110918547196
19:37:39 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 113 error- 539.8617562513559
19:37:40 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 114 error- 534.4999682906403
19:37:40 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 115 error- 529.2233675207139
19:37:41 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 116 error- 524.029680585585
19:37:41 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 117 error- 518.9167182978521
19:37:42 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 118 error- 513.8823727582376
19:37:42 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 119 error- 508.9246145251291
19:37:42 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 120 error- 504.0414898369641
19:37:43 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 121 error- 499.2311178899488
19:37:43 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - n = 4
19:37:43 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - m = 4
19:37:43 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - p = 24
19:37:43 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - Z = 1.9767942246978625
19:37:43 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - L = 4096
